Employee ID,Time In Date,Time In,Time In Latitude,Time In Longitude,Time In IP address,Time Out Date,Time Out,Time Out Latitude,Time Out Longitude,Time Out IP address,Remarks
7,"February 15, 2021",8:12:39 am,,,::1,"February 16, 2021",8:50:28 am,,,::1,
2,"February 15, 2021",8:15:24 am,,,::1,"February 15, 2021",5:34:06 pm,,,::1,
6,"February 15, 2021",8:35:14 am,,,::1,"February 15, 2021",5:52:34 pm,,,::1,
2,"February 16, 2021",7:51:18 am,,,::1,"February 17, 2021",4:30:01 pm,,,::1,
6,"February 16, 2021",8:32:07 am,,,::1,"February 16, 2021",5:43:20 pm,,,::1,
7,"February 16, 2021",8:50:30 am,,,::1,"February 16, 2021",5:33:41 pm,,,::1,
7,"February 17, 2021",8:11:53 am,,,::1,"February 18, 2021",8:12:43 am,,,::1,
6,"February 17, 2021",8:38:32 am,,,::1,"February 17, 2021",5:39:45 pm,,,::1,
2,"February 17, 2021",4:30:04 pm,,,::1,"February 17, 2021",5:11:39 pm,,,::1,
7,"February 18, 2021",8:12:45 am,,,::1,"February 23, 2021",3:53:03 pm,,,::1,
6,"February 18, 2021",8:24:32 am,,,::1,"February 18, 2021",5:50:26 pm,,,::1,
2,"February 18, 2021",9:00:27 am,,,::1,"February 22, 2021",8:19:24 am,,,::1,
6,"February 19, 2021",8:25:05 am,,,::1,"February 19, 2021",5:33:14 pm,,,::1,
2,"February 22, 2021",5:31:32 pm,,,::1,"February 22, 2021",5:31:40 pm,,,::1,
6,"February 23, 2021",2:36:05 pm,,,::1,"February 24, 2021",8:13:19 am,,,::1,
2,"February 24, 2021",8:23:25 am,,,::1,"April 26, 2021",2:49:15 pm,,,::1,
7,"March 05, 2021",2:21:12 pm,,,::1,"March 15, 2021",8:42:25 am,,,::1,
2,"May 03, 2021",7:06:00 am,,,::1,"May 03, 2021",5:59:00 pm,,,::1,
2,"May 04, 2021",7:01:00 am,,,::1,"May 04, 2021",6:12:00 pm,,,::1,
7,"May 04, 2021",8:18:12 am,,,::1,"May 04, 2021",5:34:06 pm,,,::1,
2,"May 05, 2021",7:14:00 am,,,::1,"May 05, 2021",6:03:00 pm,,,::1,
7,"May 05, 2021",8:13:51 am,,,::1,"May 05, 2021",5:35:57 pm,,,::1,
6,"May 05, 2021",4:06:00 pm,,,::1,"May 05, 2021",4:06:13 pm,,,::1,
2,"May 06, 2021",7:44:00 am,,,::1,"May 06, 2021",6:17:00 pm,,,::1,
20,"May 06, 2021",8:05:41 am,,,::1,"May 06, 2021",6:51:30 pm,,,::1,
6,"May 06, 2021",8:13:37 am,,,::1,"May 06, 2021",6:07:46 pm,,,::1,
7,"May 06, 2021",8:15:54 am,,,::1,"May 06, 2021",5:36:18 pm,,,::1,
40,"May 06, 2021",8:16:11 am,,,::1,"May 06, 2021",6:16:25 pm,,,::1,
20,"May 07, 2021",7:44:00 am,,,::1,"May 07, 2021",6:32:00 pm,,,::1,Failure to log-out
7,"May 07, 2021",8:17:13 am,,,::1,"May 07, 2021",5:35:21 pm,,,::1,
2,"May 07, 2021",8:17:00 am,,,::1,"May 07, 2021",5:32:00 pm,,,::1,
40,"May 07, 2021",8:23:57 am,,,::1,"May 07, 2021",6:04:01 pm,,,::1,
2,"May 10, 2021",7:40:42 am,,,::1,"May 10, 2021",5:36:53 pm,,,::1,
40,"May 10, 2021",8:11:15 am,,,::1,"May 11, 2021",8:16:43 am,,,::1,
7,"May 10, 2021",8:14:59 am,,,::1,"May 10, 2021",5:35:20 pm,,,::1,
6,"May 10, 2021",9:49:58 am,,,::1,"May 10, 2021",5:56:32 pm,,,::1,
20,"May 10, 2021",7:57:00 am,,,::1,"May 11, 2021",8:05:27 am,,,::1,No QR Code yet
2,"May 11, 2021",7:35:18 am,,,::1,"May 11, 2021",5:42:19 pm,,,::1,
6,"May 11, 2021",8:05:48 am,,,::1,"May 11, 2021",5:47:45 pm,,,::1,
20,"May 11, 2021",8:06:06 am,,,::1,"May 12, 2021",8:18:30 am,,,::1,
7,"May 11, 2021",8:13:17 am,,,::1,"May 11, 2021",5:35:57 pm,,,::1,
40,"May 11, 2021",8:16:50 am,,,::1,"May 11, 2021",5:35:44 pm,,,::1,
2,"May 12, 2021",7:25:00 am,,,::1,"May 12, 2021",6:05:00 pm,,,::1,
40,"May 12, 2021",8:05:34 am,,,::1,"May 12, 2021",6:33:28 pm,,,::1,
7,"May 12, 2021",8:16:22 am,,,::1,"May 12, 2021",5:35:15 pm,,,::1,
20,"May 12, 2021",8:18:37 am,,,::1,"May 17, 2021",7:57:26 am,,,::1,
