Transmittal ID,Transmittal Type,Employee From,Department From,Employee To,Department To,Transaction Date,Transaction Time,Received By
1,0,2,DEPT1,,DEPT6,"January 04, 2021",9:47:22 am,
1,1,2,DEPT1,,DEPT6,"January 04, 2021",9:52:00 am,35
1,2,35,DEPT6,2,DEPT1,"January 04, 2021",10:04:08 am,
1,1,35,DEPT6,2,DEPT1,"January 04, 2021",10:05:01 am,2
1,2,2,DEPT1,,DEPT6,"January 04, 2021",10:44:08 am,
1,1,2,DEPT1,,DEPT6,"January 04, 2021",10:44:56 am,35
1,2,35,DEPT6,2,DEPT1,"January 04, 2021",10:46:39 am,
1,1,35,DEPT6,2,DEPT1,"January 04, 2021",10:47:00 am,2
1,2,2,DEPT1,9,DEPT4,"January 04, 2021",10:51:10 am,
1,1,2,DEPT1,9,DEPT4,"January 04, 2021",10:51:37 am,9
1,2,9,DEPT4,37,DEPT7,"January 04, 2021",11:10:06 am,
1,1,9,DEPT4,37,DEPT7,"January 04, 2021",11:16:14 am,37
1,2,37,DEPT7,,DEPT1,"January 05, 2021",9:17:27 am,
1,1,37,DEPT7,,DEPT1,"January 05, 2021",9:29:04 am,2
1,2,2,DEPT1,3,DEPT2,"January 05, 2021",9:29:25 am,
1,1,2,DEPT1,3,DEPT2,"January 05, 2021",9:30:59 am,3
3,0,9,DEPT4,16,DEPT7,"January 04, 2021",10:58:56 am,
3,0,9,DEPT4,37,DEPT7,"January 04, 2021",11:10:26 am,
3,1,9,DEPT4,37,DEPT7,"January 04, 2021",11:16:49 am,37
3,3,9,DEPT4,37,DEPT7,"January 18, 2021",9:04:57 am,37
6,0,9,DEPT4,37,DEPT7,"January 04, 2021",3:38:30 pm,
6,1,9,DEPT4,37,DEPT7,"January 04, 2021",3:41:33 pm,37
6,2,37,DEPT7,20,DEPT2,"January 18, 2021",9:17:43 am,
6,1,37,DEPT7,20,DEPT2,"January 21, 2021",8:48:22 am,20
7,0,9,DEPT4,37,DEPT7,"January 04, 2021",4:32:05 pm,
7,1,9,DEPT4,37,DEPT7,"January 20, 2021",10:07:11 am,37
7,2,37,DEPT7,36,DEPT6,"January 26, 2021",1:19:51 pm,
7,2,37,DEPT7,9,DEPT4,"January 26, 2021",3:09:41 pm,
7,2,37,DEPT7,20,DEPT2,"January 26, 2021",4:11:39 pm,
7,1,37,DEPT7,20,DEPT2,"January 28, 2021",3:58:21 pm,20
8,0,3,DEPT2,35,DEPT6,"January 05, 2021",10:36:13 am,
8,1,3,DEPT2,35,DEPT6,"January 08, 2021",1:28:43 pm,35
8,3,3,DEPT2,35,DEPT6,"January 21, 2021",9:31:00 am,35
9,0,3,DEPT2,10,DEPT4,"January 05, 2021",10:53:03 am,
9,1,3,DEPT2,10,DEPT4,"February 05, 2021",1:20:03 pm,10
10,0,3,DEPT2,9,DEPT4,"January 05, 2021",11:04:35 am,
10,1,3,DEPT2,9,DEPT4,"January 15, 2021",3:08:11 pm,9
11,0,2,DEPT1,8,DEPT3,"January 05, 2021",2:13:16 pm,
11,1,2,DEPT1,8,DEPT3,"January 05, 2021",2:15:34 pm,8
11,2,8,DEPT3,2,DEPT1,"January 05, 2021",2:17:16 pm,
11,1,8,DEPT3,2,DEPT1,"January 05, 2021",2:18:42 pm,2
