Transmittal ID,Description,Status,Current Employee,Current Department,Transmitted Employee,Transmitted Department,Last Transaction Date,Last Transaction Time
1,Digital Document Transmitta,1,2,DEPT1,3,DEPT2,"January 05, 2021",9:30:59 am
3,timeline for Y2021 budgeting activities,3,9,DEPT4,37,DEPT7,"January 18, 2021",9:04:57 am
6,recommendation - result of sales contest for incentives generated from Insurance companies,1,37,DEPT7,20,DEPT2,"January 21, 2021",8:48:22 am
7,Recommendation - PMW Rating and Setting Discussion,1,37,DEPT7,20,DEPT2,"January 28, 2021",3:58:21 pm
8,"1. Purchase Request : Repair of Motorcycle Tire (for regularization) 2. RFP : Tiles Payment (2,000.00) 3. RFP : Jedd B. Alejo (14,315.57)",3,3,DEPT2,35,DEPT6,"January 21, 2021",9:31:00 am
9,Commendation 1. Ariel Duclayan 2. Alejandro Juanani 3. Melvin Santiago 4. Rogelio Dela Cruz,1,3,DEPT2,10,DEPT4,"February 05, 2021",1:20:03 pm
10,Written Reprimand - Audit Rating 3rd Quarter 1. SM. LTPunsalan 2. SM. FEFernandez,1,3,DEPT2,9,DEPT4,"January 15, 2021",3:08:11 pm
11,Laptop Acceptance Form & Agreement,3,8,DEPT3,2,DEPT1,"January 05, 2021",2:20:46 pm
12,Transmittal of Supplies Requisition Slip of Datacenter,1,2,DEPT1,,DEPT2,"January 05, 2021",2:30:50 pm
13,Transmittal of User Access for ms. palo (email accounts),1,6,DEPT1,38,DEPT3,"January 06, 2021",4:59:09 pm
14,Travel & representation Form- December 2020-GTB,3,2,DEPT1,,DEPT2,"January 06, 2021",9:44:31 am
15,Request for Secretary Certificate-Converge,3,35,DEPT6,37,DEPT7,"January 21, 2021",8:38:39 am
16,"RFP: JBAlejo - P 567.00 RFP: Innove - P 4, 418.65 RFP: Astron - P 15, 312.37 RFP:A & L Pharma - P 1, 764.00 RFP:Notker Mendoza - P 3, 300.00 PR: Admin. Supplies - January 2021 PR: Fire Extinguisher Refill",1,3,DEPT2,35,DEPT6,"January 06, 2021",5:03:26 pm
17,"RFP: A&L PARMA 1,764.00 RFP: Notker Mendoza - P 3, 300.00",1,35,DEPT6,3,DEPT2,"January 08, 2021",1:35:48 pm
18,"RFP 1. AEC - P 1,160.09 LSS 1. Globe",1,3,DEPT2,35,DEPT6,"January 08, 2021",1:35:11 pm
19,"RFP: ANGELES ELECTRIC CORP 1,160.09",1,35,DEPT6,3,DEPT2,"January 15, 2021",11:05:46 am
20,"LSS: Messengers Salary - December 16-31, 2020 PR: Baygon and Sprayer",1,3,DEPT2,35,DEPT6,"January 15, 2021",9:30:57 am
21,Commendation for Perfect Attendance - November 1. NRG 2. NCS,0,3,DEPT2,36,DEPT6,"January 08, 2021",5:56:48 pm
22,Revised Table of Interest Rate for 2021,1,3,DEPT2,35,DEPT6,"January 11, 2021",11:49:47 am
23,Revised Table of Interest Rate for 2021,1,3,DEPT2,9,DEPT4,"January 15, 2021",3:07:57 pm
24,RFP : RBRafael CTLaw LSS: Boarding House Payment,1,3,DEPT2,35,DEPT6,"January 11, 2021",11:50:18 am
26,Clearance: Gidget Pangilinan,0,3,DEPT2,4,DEPT3,"January 11, 2021",3:43:57 pm
27,RFP: PHIC,1,3,DEPT2,35,DEPT6,"January 15, 2021",9:33:30 am
28,Transmittal of PMW RATING of Lemar Bill Micayas covered by Dec 2020 to Jan 2021,1,6,DEPT1,3,DEPT2,"January 12, 2021",2:10:07 pm
