Loan No.,Book Date,Loan Status,Product,Branch,Loan Amount,PN Amount,Term
1000216328,"October 26, 2021",CAN,CARS-SECOND HAND,NUEVA ECIJA HUB,"310,000.00","457,344.00",36
1000216449,"November 08, 2021",POS,CARS-SECOND HAND,TARLAC BRANCH,"555,000.00","906,672.00",48
1000216676,"November 24, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"888,000.00","1,450,656.00",48
1000216726,"November 26, 2021",POS,CARS-SECOND HAND,TARLAC BRANCH,"757,000.00","992,280.00",24
1000216734,"November 26, 2021",POS,CARS-SECOND HAND,TARLAC BRANCH,"640,000.00","944,136.00",36
1000216884,"December 07, 2021",POS,NC-BPL,TARLAC BRANCH,"50,000.00","60,720.00",12
1000216940,"December 15, 2021",CAN,TRUCKS-SECOND HAND,NUEVA ECIJA HUB,"520,000.00","651,048.00",24
1000217138,"December 20, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"230,000.00","305,352.00",24
1000217221,"December 24, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"594,000.00","772,200.00",36
1000215135,"August 03, 2021",CAN,TRUCKS-SECOND HAND,NUEVA ECIJA HUB,"600,000.00","905,832.00",36
1000215208,"August 05, 2021",CAN,NC-BPL,NUEVA ECIJA HUB,"100,000.00","118,920.00",12
1000215305,"August 12, 2021",POS,RE-RESIDENTIAL,NUEVA ECIJA HUB,"1,000,000.00","1,278,408.00",24
1000215501,"August 20, 2021",CLS,NC-BPL,PAMPANGA HUB,"50,000.00","60,720.00",12
1000215657,"August 31, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"246,000.00","327,504.00",24
1000215683,"August 31, 2021",POS,CARS-SECOND HAND,PAMPANGA HUB,"550,000.00","898,512.00",48
1000215697,"August 31, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"162,000.00","215,688.00",24
1000216393,"October 29, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"600,000.00","851,724.00",36
1000216408,"November 02, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"850,000.00","1,270,836.00",36
1000216505,"November 12, 2021",POS,NC-BPL,PAMPANGA HUB,"50,000.00","59,472.00",12
1000216713,"November 26, 2021",POS,CARS-SECOND HAND,PAMPANGA HUB,"245,000.00","400,272.00",48
1000217099,"December 20, 2021",POS,NC-BPL,NUEVA ECIJA HUB,"100,000.00","117,648.00",12
1000216486,"November 11, 2021",CAN,CARS-SECOND HAND,NUEVA ECIJA HUB,"400,000.00","526,440.00",24
1000216492,"November 11, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"400,000.00","526,440.00",24
1000216519,"November 12, 2021",CAN,TRUCKS-SECOND HAND,NUEVA ECIJA HUB,"570,000.00","860,544.00",36
1000216908,"December 13, 2021",POS,CARS-SECOND HAND,PAMPANGA HUB,"780,000.00","888,420.00",12
1000217071,"December 17, 2021",CAN,TRUCKS-SECOND HAND,NUEVA ECIJA HUB,"660,000.00","833,520.00",24
1000216149,"October 07, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"340,000.00","501,588.00",36
1000216210,"October 15, 2021",POS,TRUCKS-RECON,NUEVA ECIJA HUB,"1,765,000.00","2,400,408.00",36
1000217207,"December 22, 2021",POS,CARS-SECOND HAND,PAMPANGA HUB,"575,000.00","844,128.00",36
1000217210,"December 23, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"120,000.00","179,280.00",36
1000215271,"August 10, 2021",CAN,TRUCKS-SECOND HAND,NUEVA ECIJA HUB,"680,000.00","1,005,876.00",36
1000215497,"August 19, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"209,000.00","261,672.00",24
1000215678,"August 31, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"400,000.00","526,440.00",24
