"APPLNO","COID","BRANCHID","CLIENTID","APPLCS","STATUS","APPLDT","OFFICER","MKTASST","REMARKS","DECDT","APVLDT","AUDITKY","DOSRI","ECOACT","INDCS","SECURED","FINASS","LOCKED","APPLTP","PURPOSE","EFFYLD","DOSRIA","SECUREDP","INTCTR","INDTP","CREDTP","COLLTP","INTYLD","USEREY","DIEY","SMCEY","OCEY","MSEY","MSDSEY","IRRT","MI1","MI2","MI3","MI4","MI5","TRANTP","PURPOSE2","REJRSN","LOANTP","REJREM","FAPVLDT","APPLDT2","APPLTM","FAPVLTM","APVLTM","APVREM","PENRSN","FACNO","DEDTO","RENTAG","DEFTAG","DEFREM","WLTAG","WLTAGBY","WLTAGDT","CLIENTUPDATE","TEMPID","IRR","RATETP","RENTP","PURPOSE3","FSTPRCSS","FPDT","FPTM","FSTPRCSSVER","FPVERPDT","FPVERPTM","FPVERBY","APPLBRANCH","ACCTCLS","CLSTP","DOCCOMPDT","DOCCOMPTM","VOTEDATE","VOTETIME","CI","CLIENTID","COID","COLID","YRMODEL","MOTORNO","SERIALNO","REGCERTNO","REGEXPDT","INSCRD","INSCNO","PAGENO","VOLUMENO","FILENO","APPSLVAL","APPSLDT","LOANVAL","VCOLTP","PLATENO","MVRNO","BRAND","COLOR","SERIES","ENTRYNO","NOTDT","NOTARY","NOTPL","REGDEED","DOCNO","BOOKNO","COLLTAG","ROWNER","ENGINETP","TRANSMISSION","LTOVERIFICATION","ORCRVER","CLIENTID","COID","COLID","COLTP","COLDS","SECAMT","APPSLVAL","APPSLDT","LOANVAL","ASSAMT","AUDITKY","STARTDT","MATDT","PURDT","STATUS","ENCODEDT","ENCODETM","COMPDT","COMPTM","SELLER","ACTDESC","REMARKS","COLID","APPLNO","CLIENTID","ASSGNDT","ASSGNTM","ASSIGNBY","SOURCEID","COLID","SOURCE","AMOUNT","REMARKS","CLIENTID"
"5000045050","FTC","100 ","2000052539","A","AVL","01-Oct-2021 12:00:00 AM","MSONIGA     ","CRONQUILLO  ","NO SI
7% DI
7% RF
W/ APV. ADDTL 10% ON APPRAISAL APV BY CHIEF APPRAISER
REQUESTING FOR ADDITIONAL 12,640 ON LOAN AMOUNT TO HAVE  450K LOANABLE                                                                                                            ","04-Oct-2021 12:00:00 AM","04-Oct-2021 12:00:00 AM","X00002527483 ","0","BA      ","LAR","0","0","18","4       ","","20.724","","","32","","","","20.724","20.724","20.724","20.724","20.724","20.724","20.724","0","0","0","0","0","0","2","PER         ","","FIN         ","","04-Oct-2021 12:00:00 AM","01-Oct-2021 12:00:00 AM","10:01:57","14:31:05","16:33:54","WITHIN EMA/ELA
RECEIVING REMITTANCE FOR 4 YRS AND 2YRS RESPECTIVELY
DAUGHTER AND SON-IN-LAW ABROAD CONFIRMS THAT THEY WILL PAY THE LOAN
ADDL CO-MAKER IS HER DAUGHTER, A PUBLIC SCHOOL TEACHER
TERM IS 24 MONTHS ONLY

                                       ","","","","N","","","","","","","","43.719","FTP            ","","FAMILY SERVICE                                                                                                                                                                                          ","1","04-Oct-2021 12:00:00 AM","15:16:14  ","0","","","","1         ","","","04-Oct-2021 12:00:00 AM","12:59:47  ","","","27.9","2000052539","FTC","MHKM5EF2FHK009504             ","2017","1NRF293727                    ","MHKM5EF2FHK009504             ","002017119347305","13-Oct-2021    ","368000000008624","2021002223","82","0","0","","","","","NAU2377 ","130100000946408               ","TOY001  ","GRAY METALLIC            ","2021    ","0       ","13-Oct-2021 12:00:00 AM","EDGARDO G. VILLARIN                     ","CABANATUAN CITY                         ","NUEVA ECIJA SOUTH                       ","403     ","110     ","N","CAROL RAMOS GAMIS                                           ","GAS       ","AUTO      ","HAS NO LTO APPREHENSION, HAS NO LTO ALARM.
LAST REG: 11/27/2003
VERIFY THRU LTO 2600                                                                                                                                                                                                                                                                                                                            ","1","2000052539","FTC","MHKM5EF2FHK009504             ","V","TOYOTA AVANZA 1.3E AT         ","546700","546700","10-Dec-2021 12:00:00 AM","437360","0","X00002527571 ","","","","COM","01-Oct-2021 12:00:00 AM","12:00:47    ","04-Oct-2021 12:00:00 AM","14:19:19    ","SULIT WHEEL                                                                                                                                                                                             ","TOYOTA AVANZA 1.3E AT                                                                                                                                                                                   ","W/ APV 10% INCREASED ON AV GIVEN BY CHIEF APPRAISER                                                                                                                                                     ","MHKM5EF2FHK009504             ","5000045050","2000052539","04-Oct-2021 12:00:00 AM","10:07:14","CAGUILAR            ","1309","MHKM5EF2FHK009504             ","SULIT WHEEL                                                                                         ","563000","N/A                                                                                                                                                                                                     ","2000052539"
"5000045050","FTC","100 ","2000052539","A","AVL","01-Oct-2021 12:00:00 AM","MSONIGA     ","CRONQUILLO  ","NO SI
7% DI
7% RF
W/ APV. ADDTL 10% ON APPRAISAL APV BY CHIEF APPRAISER
REQUESTING FOR ADDITIONAL 12,640 ON LOAN AMOUNT TO HAVE  450K LOANABLE                                                                                                            ","04-Oct-2021 12:00:00 AM","04-Oct-2021 12:00:00 AM","X00002527483 ","0","BA      ","LAR","0","0","18","4       ","","20.724","","","32","","","","20.724","20.724","20.724","20.724","20.724","20.724","20.724","0","0","0","0","0","0","2","PER         ","","FIN         ","","04-Oct-2021 12:00:00 AM","01-Oct-2021 12:00:00 AM","10:01:57","14:31:05","16:33:54","WITHIN EMA/ELA
RECEIVING REMITTANCE FOR 4 YRS AND 2YRS RESPECTIVELY
DAUGHTER AND SON-IN-LAW ABROAD CONFIRMS THAT THEY WILL PAY THE LOAN
ADDL CO-MAKER IS HER DAUGHTER, A PUBLIC SCHOOL TEACHER
TERM IS 24 MONTHS ONLY

                                       ","","","","N","","","","","","","","43.719","FTP            ","","FAMILY SERVICE                                                                                                                                                                                          ","1","04-Oct-2021 12:00:00 AM","15:16:14  ","0","","","","1         ","","","04-Oct-2021 12:00:00 AM","12:59:47  ","","","27.9","2000052539","FTC","MHKM5EF2FHK009504             ","2017","1NRF293727                    ","MHKM5EF2FHK009504             ","002017119347305","13-Oct-2021    ","368000000008624","2021002223","82","0","0","","","","","NAU2377 ","130100000946408               ","TOY001  ","GRAY METALLIC            ","2021    ","0       ","13-Oct-2021 12:00:00 AM","EDGARDO G. VILLARIN                     ","CABANATUAN CITY                         ","NUEVA ECIJA SOUTH                       ","403     ","110     ","N","CAROL RAMOS GAMIS                                           ","GAS       ","AUTO      ","HAS NO LTO APPREHENSION, HAS NO LTO ALARM.
LAST REG: 11/27/2003
VERIFY THRU LTO 2600                                                                                                                                                                                                                                                                                                                            ","1","2000052539","FTC","MHKM5EF2FHK009504             ","V","TOYOTA AVANZA 1.3E AT         ","546700","546700","10-Dec-2021 12:00:00 AM","437360","0","X00002527571 ","","","","COM","01-Oct-2021 12:00:00 AM","12:00:47    ","04-Oct-2021 12:00:00 AM","14:19:19    ","SULIT WHEEL                                                                                                                                                                                             ","TOYOTA AVANZA 1.3E AT                                                                                                                                                                                   ","W/ APV 10% INCREASED ON AV GIVEN BY CHIEF APPRAISER                                                                                                                                                     ","MHKM5EF2FHK009504             ","5000045050","2000052539","04-Oct-2021 12:00:00 AM","10:07:14","CAGUILAR            ","1310","MHKM5EF2FHK009504             ","PRICE INDEX                                                                                         ","497000","N/A                                                                                                                                                                                                     ","2000052539"
"5000045052","FTC","100 ","2000052544","A","CAN","01-Oct-2021 12:00:00 AM","MSONIGA     ","LPUNSALAN   ","FLEXI                                                                                                                                                                                                                                                     ","","","X00002527554 ","0","BH      ","MIC","0","0","0","4       ","","27.284","","","48","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","2","BUS         ","","FIN         ","","","01-Oct-2021 12:00:00 AM","11:54:01","","","","","","","N","","","","","","","","30.969","FTP            ","","TO ACQUIRE UNIT COLLATERAL                                                                                                                                                                              ","0","","","0","","","","2         ","","","04-Oct-2021 12:00:00 AM","16:43:55  ","","","27.28","2000052544","FTC","JN1TC2E26Z0052427             ","2018","YD25022680B                   ","JN1TC2E26Z0052427             ","316177153      ","","1400158841     ","0","0","0","0","","","","","NAP7229 ","130100001155946               ","NIS001  ","ALPINE WHITE             ","N/A     ","0       ","","N/A                                     ","N/A                                     ","N/A                                     ","N/A     ","N/A     ","N","MARIA LAILANI JOSE MANALO                                   ","DSL       ","MNL       ","HAS NO LTO APPREHENSION, HAS NO LTO ALARM VIA LTO 2600
REGISTERED LAST 06/18/2018                                                                                                                                                                                                                                                                                                                               ","1","2000052544","FTC","JN1TC2E26Z0052427             ","V","NISSAN NV350 URVAN 2.5        ","850000","850000","05-Oct-2021 12:00:00 AM","680000","0","X00002527799 ","","","","COM","05-Oct-2021 12:00:00 AM","11:07:35    ","07-Oct-2021 12:00:00 AM","15:24:36    ","N/A                                                                                                                                                                                                     ","NISSAN NV350 URVAN 2.5 VAN                                                                                                                                                                              ","N/A                                                                                                                                                                                                     ","JN1TC2E26Z0052427             ","5000045052","2000052544","05-Oct-2021 12:00:00 AM","11:08:17","JYYALUNG            ","1317","JN1TC2E26Z0052427             ","SELLING PRICE                                                                                       ","850000","N/A                                                                                                                                                                                                     ","2000052544"
"5000045052","FTC","100 ","2000052544","A","CAN","01-Oct-2021 12:00:00 AM","MSONIGA     ","LPUNSALAN   ","FLEXI                                                                                                                                                                                                                                                     ","","","X00002527554 ","0","BH      ","MIC","0","0","0","4       ","","27.284","","","48","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","2","BUS         ","","FIN         ","","","01-Oct-2021 12:00:00 AM","11:54:01","","","","","","","N","","","","","","","","30.969","FTP            ","","TO ACQUIRE UNIT COLLATERAL                                                                                                                                                                              ","0","","","0","","","","2         ","","","04-Oct-2021 12:00:00 AM","16:43:55  ","","","27.28","2000052544","FTC","JN1TC2E26Z0052427             ","2018","YD25022680B                   ","JN1TC2E26Z0052427             ","316177153      ","","1400158841     ","0","0","0","0","","","","","NAP7229 ","130100001155946               ","NIS001  ","ALPINE WHITE             ","N/A     ","0       ","","N/A                                     ","N/A                                     ","N/A                                     ","N/A     ","N/A     ","N","MARIA LAILANI JOSE MANALO                                   ","DSL       ","MNL       ","HAS NO LTO APPREHENSION, HAS NO LTO ALARM VIA LTO 2600
REGISTERED LAST 06/18/2018                                                                                                                                                                                                                                                                                                                               ","1","2000052544","FTC","JN1TC2E26Z0052427             ","V","NISSAN NV350 URVAN 2.5        ","850000","850000","05-Oct-2021 12:00:00 AM","680000","0","X00002527799 ","","","","COM","05-Oct-2021 12:00:00 AM","11:07:35    ","07-Oct-2021 12:00:00 AM","15:24:36    ","N/A                                                                                                                                                                                                     ","NISSAN NV350 URVAN 2.5 VAN                                                                                                                                                                              ","N/A                                                                                                                                                                                                     ","JN1TC2E26Z0052427             ","5000045052","2000052544","05-Oct-2021 12:00:00 AM","11:08:17","JYYALUNG            ","1318","JN1TC2E26Z0052427             ","P.INDEX                                                                                             ","916000","N/A                                                                                                                                                                                                     ","2000052544"
"5000045054","FTC","100 ","2000047762","A","AVL","04-Oct-2021 12:00:00 AM","CRECOM      ","CSRIVERA    ","DOUBLE ACCOUNT
RENEWAL DIFF COLA.  
NO SI/DI
W/ 1% DISC. TO HAVE 4.5% RF
REQUESTING FOR ADDTL. 10% ON LOAN AMOUNT TO LOAN APPROVER TO  HAVE 407K LOAN.
APV TO PEN DUE TO CHANGE OF TERM FROM 24 MOS TO 18 MOS.                                            ","07-Oct-2021 12:00:00 AM","07-Oct-2021 12:00:00 AM","X00002527649 ","0","BA      ","SMA","0","0","18","2       ","","36.118","","","31","","","","36.118","36.118","36.118","36.118","36.118","36.118","36.118","0","0","0","0","0","0","2","BUS         ","","REF         ","","07-Oct-2021 12:00:00 AM","04-Oct-2021 12:00:00 AM","10:32:39","16:02:29","16:33:23","CO of 407K
Term of 18 mos
-shorter term
-within EMA/ELA
-essential business
-good renewal account                                                                                                                                                             ","","","","R","","","","","","","","54.2","STD            ","4              ","ADDITIONAL CAPITAL FOR BUSINESS                                                                                                                                                                         ","0","","","0","","","","1         ","","","04-Oct-2021 12:00:00 AM","10:54:48  ","","","36.12","2000047762","FTC","FE83PEA00397                  ","2006","4D34K51033                    ","FE83PEA00397                  ","412637411      ","18-Oct-2021    ","2160890594     ","2021002286","4","0","0","","","","","CAG4399 ","030100000514159               ","MIT001  ","YELLOW                   ","2021    ","0       ","18-Oct-2021 12:00:00 AM","EDGARDO G. VILLARIN                     ","CABANATUAN CITY                         ","NUEVA ECIJA SOUTH                       ","13      ","111     ","O","JEFFREY MANGILIT NUÑEZ                                      ","DSL       ","MNL       ","HAS NO LTO APPREHENSION/HAS NO LTO ALARM
LAST REG: 03/09/2021
VERIFY THRU LTO 2600.
2006MODEL/2017 1ST REG/PRIVATE                                                                                                                                                                                                                                                                                              ","1","2000047762","FTC","FE83PEA00397                  ","V","MITSUBISHI DROPSIDE TRUCK     ","570000","570000","25-Oct-2021 12:00:00 AM","370500","0","X00002527717 ","","","","COM","04-Oct-2021 12:00:00 AM","16:03:17    ","04-Oct-2021 12:00:00 AM","16:07:20    ","N/A                                                                                                                                                                                                     ","MITSUBISHI DROPSIDE TRUCK                                                                                                                                                                               ","N/A                                                                                                                                                                                                     ","FE83PEA00397                  ","5000045054","2000047762","04-Oct-2021 12:00:00 AM","15:25:52","CAGUILAR            ","1313","FE83PEA00397                  ","APOLO VALDEZ                                                                                        ","570000","N/A                                                                                                                                                                                                     ","2000047762"
"5000045054","FTC","100 ","2000047762","A","AVL","04-Oct-2021 12:00:00 AM","CRECOM      ","CSRIVERA    ","DOUBLE ACCOUNT
RENEWAL DIFF COLA.  
NO SI/DI
W/ 1% DISC. TO HAVE 4.5% RF
REQUESTING FOR ADDTL. 10% ON LOAN AMOUNT TO LOAN APPROVER TO  HAVE 407K LOAN.
APV TO PEN DUE TO CHANGE OF TERM FROM 24 MOS TO 18 MOS.                                            ","07-Oct-2021 12:00:00 AM","07-Oct-2021 12:00:00 AM","X00002527649 ","0","BA      ","SMA","0","0","18","2       ","","36.118","","","31","","","","36.118","36.118","36.118","36.118","36.118","36.118","36.118","0","0","0","0","0","0","2","BUS         ","","REF         ","","07-Oct-2021 12:00:00 AM","04-Oct-2021 12:00:00 AM","10:32:39","16:02:29","16:33:23","CO of 407K
Term of 18 mos
-shorter term
-within EMA/ELA
-essential business
-good renewal account                                                                                                                                                             ","","","","R","","","","","","","","54.2","STD            ","4              ","ADDITIONAL CAPITAL FOR BUSINESS                                                                                                                                                                         ","0","","","0","","","","1         ","","","04-Oct-2021 12:00:00 AM","10:54:48  ","","","36.12","2000047762","FTC","FE83PEA00397                  ","2006","4D34K51033                    ","FE83PEA00397                  ","412637411      ","18-Oct-2021    ","2160890594     ","2021002286","4","0","0","","","","","CAG4399 ","030100000514159               ","MIT001  ","YELLOW                   ","2021    ","0       ","18-Oct-2021 12:00:00 AM","EDGARDO G. VILLARIN                     ","CABANATUAN CITY                         ","NUEVA ECIJA SOUTH                       ","13      ","111     ","O","JEFFREY MANGILIT NUÑEZ                                      ","DSL       ","MNL       ","HAS NO LTO APPREHENSION/HAS NO LTO ALARM
LAST REG: 03/09/2021
VERIFY THRU LTO 2600.
2006MODEL/2017 1ST REG/PRIVATE                                                                                                                                                                                                                                                                                              ","1","2000047762","FTC","FE83PEA00397                  ","V","MITSUBISHI DROPSIDE TRUCK     ","570000","570000","25-Oct-2021 12:00:00 AM","370500","0","X00002527717 ","","","","COM","04-Oct-2021 12:00:00 AM","16:03:17    ","04-Oct-2021 12:00:00 AM","16:07:20    ","N/A                                                                                                                                                                                                     ","MITSUBISHI DROPSIDE TRUCK                                                                                                                                                                               ","N/A                                                                                                                                                                                                     ","FE83PEA00397                  ","5000045054","2000047762","04-Oct-2021 12:00:00 AM","15:25:52","CAGUILAR            ","1314","FE83PEA00397                  ","JESS APARES                                                                                         ","500000","N/A                                                                                                                                                                                                     ","2000047762"
"5000045054","FTC","100 ","2000047762","A","AVL","04-Oct-2021 12:00:00 AM","CRECOM      ","CSRIVERA    ","DOUBLE ACCOUNT
RENEWAL DIFF COLA.  
NO SI/DI
W/ 1% DISC. TO HAVE 4.5% RF
REQUESTING FOR ADDTL. 10% ON LOAN AMOUNT TO LOAN APPROVER TO  HAVE 407K LOAN.
APV TO PEN DUE TO CHANGE OF TERM FROM 24 MOS TO 18 MOS.                                            ","07-Oct-2021 12:00:00 AM","07-Oct-2021 12:00:00 AM","X00002527649 ","0","BA      ","SMA","0","0","18","2       ","","36.118","","","31","","","","36.118","36.118","36.118","36.118","36.118","36.118","36.118","0","0","0","0","0","0","2","BUS         ","","REF         ","","07-Oct-2021 12:00:00 AM","04-Oct-2021 12:00:00 AM","10:32:39","16:02:29","16:33:23","CO of 407K
Term of 18 mos
-shorter term
-within EMA/ELA
-essential business
-good renewal account                                                                                                                                                             ","","","","R","","","","","","","","54.2","STD            ","4              ","ADDITIONAL CAPITAL FOR BUSINESS                                                                                                                                                                         ","0","","","0","","","","1         ","","","04-Oct-2021 12:00:00 AM","10:54:48  ","","","36.12","2000047762","FTC","FE83PEA00397                  ","2006","4D34K51033                    ","FE83PEA00397                  ","412637411      ","18-Oct-2021    ","2160890594     ","2021002286","4","0","0","","","","","CAG4399 ","030100000514159               ","MIT001  ","YELLOW                   ","2021    ","0       ","18-Oct-2021 12:00:00 AM","EDGARDO G. VILLARIN                     ","CABANATUAN CITY                         ","NUEVA ECIJA SOUTH                       ","13      ","111     ","O","JEFFREY MANGILIT NUÑEZ                                      ","DSL       ","MNL       ","HAS NO LTO APPREHENSION/HAS NO LTO ALARM
LAST REG: 03/09/2021
VERIFY THRU LTO 2600.
2006MODEL/2017 1ST REG/PRIVATE                                                                                                                                                                                                                                                                                              ","1","2000047762","FTC","FE83PEA00397                  ","V","MITSUBISHI DROPSIDE TRUCK     ","570000","570000","25-Oct-2021 12:00:00 AM","370500","0","X00002527717 ","","","","COM","04-Oct-2021 12:00:00 AM","16:03:17    ","04-Oct-2021 12:00:00 AM","16:07:20    ","N/A                                                                                                                                                                                                     ","MITSUBISHI DROPSIDE TRUCK                                                                                                                                                                               ","N/A                                                                                                                                                                                                     ","FE83PEA00397                  ","5000045054","2000047762","04-Oct-2021 12:00:00 AM","15:25:52","CAGUILAR            ","1316","FE83PEA00397                  ","JAN RAM                                                                                             ","550000","N/A                                                                                                                                                                                                     ","2000047762"
"5000045054","FTC","100 ","2000047762","A","AVL","04-Oct-2021 12:00:00 AM","CRECOM      ","CSRIVERA    ","DOUBLE ACCOUNT
RENEWAL DIFF COLA.  
NO SI/DI
W/ 1% DISC. TO HAVE 4.5% RF
REQUESTING FOR ADDTL. 10% ON LOAN AMOUNT TO LOAN APPROVER TO  HAVE 407K LOAN.
APV TO PEN DUE TO CHANGE OF TERM FROM 24 MOS TO 18 MOS.                                            ","07-Oct-2021 12:00:00 AM","07-Oct-2021 12:00:00 AM","X00002527649 ","0","BA      ","SMA","0","0","18","2       ","","36.118","","","31","","","","36.118","36.118","36.118","36.118","36.118","36.118","36.118","0","0","0","0","0","0","2","BUS         ","","REF         ","","07-Oct-2021 12:00:00 AM","04-Oct-2021 12:00:00 AM","10:32:39","16:02:29","16:33:23","CO of 407K
Term of 18 mos
-shorter term
-within EMA/ELA
-essential business
-good renewal account                                                                                                                                                             ","","","","R","","","","","","","","54.2","STD            ","4              ","ADDITIONAL CAPITAL FOR BUSINESS                                                                                                                                                                         ","0","","","0","","","","1         ","","","04-Oct-2021 12:00:00 AM","10:54:48  ","","","36.12","2000047762","FTC","FE83PEA00397                  ","2006","4D34K51033                    ","FE83PEA00397                  ","412637411      ","18-Oct-2021    ","2160890594     ","2021002286","4","0","0","","","","","CAG4399 ","030100000514159               ","MIT001  ","YELLOW                   ","2021    ","0       ","18-Oct-2021 12:00:00 AM","EDGARDO G. VILLARIN                     ","CABANATUAN CITY                         ","NUEVA ECIJA SOUTH                       ","13      ","111     ","O","JEFFREY MANGILIT NUÑEZ                                      ","DSL       ","MNL       ","HAS NO LTO APPREHENSION/HAS NO LTO ALARM
LAST REG: 03/09/2021
VERIFY THRU LTO 2600.
2006MODEL/2017 1ST REG/PRIVATE                                                                                                                                                                                                                                                                                              ","1","2000047762","FTC","FE83PEA00397                  ","V","MITSUBISHI DROPSIDE TRUCK     ","570000","570000","25-Oct-2021 12:00:00 AM","370500","0","X00002527717 ","","","","COM","04-Oct-2021 12:00:00 AM","16:03:17    ","04-Oct-2021 12:00:00 AM","16:07:20    ","N/A                                                                                                                                                                                                     ","MITSUBISHI DROPSIDE TRUCK                                                                                                                                                                               ","N/A                                                                                                                                                                                                     ","FE83PEA00397                  ","5000045054","2000047762","04-Oct-2021 12:00:00 AM","15:25:52","CAGUILAR            ","1315","FE83PEA00397                  ","KIMKERR                                                                                             ","570000","N/A                                                                                                                                                                                                     ","2000047762"
"5000045056","FTC","100 ","2000017870","A","AVL","04-Oct-2021 12:00:00 AM","MSONIGA     ","CSRIVERA    ","RENEWAL SAME COLA
SAME RATE AS PREV. LOAN
NO SI/DI
RF IS 4.5%
REQUESTING FOR ADDITIONAL 24K TO THE LOAN APPROVER TO HAVE 780K LOANABLE AMOUNT.                                                                                                            ","07-Oct-2021 12:00:00 AM","07-Oct-2021 12:00:00 AM","X00002527741 ","0","BG      ","SMA","0","0","18","2       ","","22.583","","","25","","","","22.583","22.583","22.583","22.583","22.583","22.583","22.583","0","0","0","0","0","0","2","PER         ","","REF         ","","07-Oct-2021 12:00:00 AM","04-Oct-2021 12:00:00 AM","17:08:38","10:38:42","15:01:58","RENEWAL SAME COLLA WITH PAYMENT HISTORY RATING OF A1
3RD LOAN ACCMMODATION
WITHIN EMA/ELA
BUSINESS IS 21 YRS OLD
PASSED CS OF CREDIT

                                                                                                                        ","","","1000208360","R","","","","","","","","31.901","BPRT           ","1              ","ADDITIONAL FUND FOR BUSINESS                                                                                                                                                                            ","0","","","0","","","","1         ","1000208360","1","06-Oct-2021 12:00:00 AM","14:38:27  ","","","22.58","2000017870","FTC","FU54JUZ-520128                ","2018","6M70-317045                   ","FU54JUZ-520128                ","35191386       ","","2029255222     ","0","0","0","0","","","","","CAM5139 ","030100000799485               ","RE      ","GREEN                    ","N/A     ","0       ","","N/A                                     ","N/A                                     ","N/A                                     ","N/A     ","N/A     ","O","MELVIN CRISOSTOMO                                           ","DSL       ","MNL       ","REG. LAST: 9/14/2021 HAS NO LTO APPREHENSION/ HAS NO LTO ALARM
THRU LTO 2600
2018 MODEL/1ST REG. 2018/PRIVATE                                                                                                                                                                                                                                                                                                   ","1","2000017870","FTC","FU54JUZ-520128                ","V","REBUILT ALUM.WING VAN TRUCK   ","1080000","1080000","06-Oct-2021 12:00:00 AM","756000","780000","X00002332405 ","","","","COM","06-Oct-2021 12:00:00 AM","16:08:58    ","07-Oct-2021 12:00:00 AM","09:32:37    ","N/A                                                                                                                                                                                                     ","REBUILT ALUM.WING VAN TRUCK                                                                                                                                                                             ","N/A                                                                                                                                                                                                     ","FU54JUZ-520128                ","5000045056","2000017870","06-Oct-2021 12:00:00 AM","16:10:21","CAGUILAR            ","1327","FU54JUZ-520128                ","APPRAISER                                                                                           ","1080000","N/A                                                                                                                                                                                                     ","2000017870"
"5000045056","FTC","100 ","2000017870","A","AVL","04-Oct-2021 12:00:00 AM","MSONIGA     ","CSRIVERA    ","RENEWAL SAME COLA
SAME RATE AS PREV. LOAN
NO SI/DI
RF IS 4.5%
REQUESTING FOR ADDITIONAL 24K TO THE LOAN APPROVER TO HAVE 780K LOANABLE AMOUNT.                                                                                                            ","07-Oct-2021 12:00:00 AM","07-Oct-2021 12:00:00 AM","X00002527741 ","0","BG      ","SMA","0","0","18","2       ","","22.583","","","25","","","","22.583","22.583","22.583","22.583","22.583","22.583","22.583","0","0","0","0","0","0","2","PER         ","","REF         ","","07-Oct-2021 12:00:00 AM","04-Oct-2021 12:00:00 AM","17:08:38","10:38:42","15:01:58","RENEWAL SAME COLLA WITH PAYMENT HISTORY RATING OF A1
3RD LOAN ACCMMODATION
WITHIN EMA/ELA
BUSINESS IS 21 YRS OLD
PASSED CS OF CREDIT

                                                                                                                        ","","","1000208360","R","","","","","","","","31.901","BPRT           ","1              ","ADDITIONAL FUND FOR BUSINESS                                                                                                                                                                            ","0","","","0","","","","1         ","1000208360","1","06-Oct-2021 12:00:00 AM","14:38:27  ","","","22.58","2000017870","FTC","FU54JUZ-520128                ","2018","6M70-317045                   ","FU54JUZ-520128                ","35191386       ","","2029255222     ","0","0","0","0","","","","","CAM5139 ","030100000799485               ","RE      ","GREEN                    ","N/A     ","0       ","","N/A                                     ","N/A                                     ","N/A                                     ","N/A     ","N/A     ","O","MELVIN CRISOSTOMO                                           ","DSL       ","MNL       ","REG. LAST: 9/14/2021 HAS NO LTO APPREHENSION/ HAS NO LTO ALARM
THRU LTO 2600
2018 MODEL/1ST REG. 2018/PRIVATE                                                                                                                                                                                                                                                                                                   ","1","2000017870","FTC","FU54JUZ-520128                ","V","REBUILT ALUM.WING VAN TRUCK   ","1080000","1080000","06-Oct-2021 12:00:00 AM","756000","780000","X00002332405 ","","","","COM","06-Oct-2021 12:00:00 AM","16:08:58    ","07-Oct-2021 12:00:00 AM","09:32:37    ","N/A                                                                                                                                                                                                     ","REBUILT ALUM.WING VAN TRUCK                                                                                                                                                                             ","N/A                                                                                                                                                                                                     ","FU54JUZ-520128                ","5000045056","2000017870","06-Oct-2021 12:00:00 AM","16:10:21","CAGUILAR            ","1319","FU54JUZ-520128                ","APOLO VALDEZ                                                                                        ","1100000","N/A                                                                                                                                                                                                     ","2000017870"
