"APPLNO","APPLDT","ENTRYDT","PRODDS","LOANTP"
"5000045952","22-Nov-2022 12:00:00 AM","05-Dec-2022 12:00:00 AM","CARS-SECOND HAND              ","FIN         "
"5000045955","24-Nov-2022 12:00:00 AM","05-Dec-2022 12:00:00 AM","CARS-SECOND HAND              ","REF         "
"5000045968","01-Dec-2022 12:00:00 AM","06-Dec-2022 12:00:00 AM","RE-RESIDENTIAL                ","REF         "
"5000045115","02-Nov-2021 12:00:00 AM","07-Dec-2022 12:00:00 AM","CARS-SECOND HAND              ","FIN         "
"5000045981","06-Dec-2022 12:00:00 AM","09-Dec-2022 12:00:00 AM","CARS-SECOND HAND              ","FIN         "
"5000045982","07-Dec-2022 12:00:00 AM","12-Dec-2022 12:00:00 AM","CARS-SECOND HAND              ","REF         "
"5000045988","09-Dec-2022 12:00:00 AM","14-Dec-2022 12:00:00 AM","CARS-SECOND HAND              ","FIN         "
"5000045989","12-Dec-2022 12:00:00 AM","16-Dec-2022 12:00:00 AM","CARS-SECOND HAND              ","FIN         "
"5000045990","12-Dec-2022 12:00:00 AM","21-Dec-2022 12:00:00 AM","CARS-SECOND HAND              ","FIN         "
"5000046021","22-Dec-2022 12:00:00 AM","27-Dec-2022 12:00:00 AM","CARS-SECOND HAND              ","FIN         "
