"APPLNO","APPLDT","ENTRYDT","PRODDS","LOANTP"
"5000045786","14-Sep-2022 12:00:00 AM","04-Oct-2022 12:00:00 AM","LEASING - SECOND HAND         ","FIN         "
"5000045867","17-Oct-2022 12:00:00 AM","24-Oct-2022 12:00:00 AM","CARS-SECOND HAND              ","FIN         "
"5000045803","21-Sep-2022 12:00:00 AM","03-Oct-2022 12:00:00 AM","CARS-SECOND HAND              ","FIN         "
"5000045857","13-Oct-2022 12:00:00 AM","18-Oct-2022 12:00:00 AM","CARS-SECOND HAND              ","FIN         "
"5000045854","12-Oct-2022 12:00:00 AM","13-Oct-2022 12:00:00 AM","CARS-SECOND HAND              ","FIN         "
"5000045839","05-Oct-2022 12:00:00 AM","10-Oct-2022 12:00:00 AM","CARS-SECOND HAND              ","FIN         "
"5000045834","03-Oct-2022 12:00:00 AM","05-Oct-2022 12:00:00 AM","CARS-SECOND HAND              ","FIN         "
"5000045821","28-Sep-2022 12:00:00 AM","06-Oct-2022 12:00:00 AM","CARS-SECOND HAND              ","FIN         "
"5000045877","19-Oct-2022 12:00:00 AM","24-Oct-2022 12:00:00 AM","CARS-SECOND HAND              ","FIN         "
"5000045871","18-Oct-2022 12:00:00 AM","20-Oct-2022 12:00:00 AM","CARS-SECOND HAND              ","REF         "
"5000045819","28-Sep-2022 12:00:00 AM","05-Oct-2022 12:00:00 AM","CARS-SECOND HAND              ","REF         "
"5000045792","15-Sep-2022 12:00:00 AM","04-Oct-2022 12:00:00 AM","CARS-SECOND HAND              ","FIN         "
"5000045806","23-Sep-2022 12:00:00 AM","05-Oct-2022 12:00:00 AM","TRUCKS-RECON                  ","REF         "
