"APPLNO","MKTASST"
"5000045052","LPUNSALAN   "
"5000045053","CSRIVERA    "
"5000045054","CSRIVERA    "
"5000045055","HPMESINA    "
"5000045058","LPUNSALAN   "
"5000045059","LPUNSALAN   "
"5000045060","LPUNSALAN   "
"5000045061","CSRIVERA    "
"5000045182","CRONQUILLO  "
"5000045183","HPMESINA    "
"5000045184","CRONQUILLO  "
"5000045185","FCARREON    "
"5000045186","LPUNSALAN   "
"5000045156","LPUNSALAN   "
"5000045187","LPUNSALAN   "
"5000045159","FCARREON    "
"5000044927","LPUNSALAN   "
"5000044947","CSRIVERA    "
"5000044977","CSRIVERA    "
"5000045044","CSRIVERA    "
"5000044923","HPMESINA    "
"5000044925","CSRIVERA    "
"5000044940","CSRIVERA    "
"5000044943","CSRIVERA    "
"5000044949","LPUNSALAN   "
"5000045062","CSRIVERA    "
"5000045064","CSRIVERA    "
"5000045065","CRONQUILLO  "
"5000045066","CRONQUILLO  "
"5000045067","LPUNSALAN   "
"5000045068","FCARREON    "
"5000045069","CSRIVERA    "
"5000045072","LPUNSALAN   "
"5000045188","CSRIVERA    "
"5000045189","CRONQUILLO  "
"5000045190","LPUNSALAN   "
"5000045191","LPUNSALAN   "
"5000045192","FCARREON    "
"5000045193","CRONQUILLO  "
"5000045194","CRONQUILLO  "
"5000044909","HPMESINA    "
"5000044942","CSRIVERA    "
"5000044953","LPUNSALAN   "
"5000044954","FCARREON    "
"5000044958","HPMESINA    "
"5000044959","CSRIVERA    "
"5000044911","FCARREON    "
"5000045079","CSRIVERA    "
"5000045080","LPUNSALAN   "
"5000045081","CSRIVERA    "
"5000045082","CSRIVERA    "
"5000045083","CRONQUILLO  "
"5000045084","HPMESINA    "
"5000045085","CSRIVERA    "
"5000045086","CRONQUILLO  "
"5000045087","CSRIVERA    "
"5000045195","CRONQUILLO  "
"5000045197","LPUNSALAN   "
"5000045198","LPUNSALAN   "
"5000045199","CSRIVERA    "
"5000045200","CRONQUILLO  "
"5000045201","CRONQUILLO  "
"5000045202","CRONQUILLO  "
"5000045203","LPUNSALAN   "
"5000044914","CSRIVERA    "
"5000044924","LPUNSALAN   "
"5000044930","CSRIVERA    "
"5000044936","FCARREON    "
"5000044946","CSRIVERA    "
"5000044948","CSRIVERA    "
"5000044955","CSRIVERA    "
"5000044960","HPMESINA    "
"5000045056","CSRIVERA    "
"5000045088","CSRIVERA    "
"5000045089","CSRIVERA    "
"5000045075","LPUNSALAN   "
"5000045090","CSRIVERA    "
"5000045092","LPUNSALAN   "
"5000045093","CSRIVERA    "
"5000045094","CSRIVERA    "
"5000044932","CSRIVERA    "
"5000044933","FCARREON    "
"5000044912","HPMESINA    "
"5000044913","CSRIVERA    "
"5000044963","CSRIVERA    "
"5000044964","LPUNSALAN   "
"5000044965","CSRIVERA    "
"5000044978","HPMESINA    "
"5000045071","CRONQUILLO  "
"5000045076","CRONQUILLO  "
"5000045095","CSRIVERA    "
"5000045096","CRONQUILLO  "
"5000045097","CSRIVERA    "
"5000045098","CSRIVERA    "
